
domain,type,sponsor
.band,generic,"United TLD Holdco, Ltd"
.bank,generic,"fTLD Registry Services, LLC"
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
.barcelona,generic,Municipi de Barcelona
.barclaycard,generic,Barclays Bank PLC
.barclays,generic,Barclays Bank PLC
.barefoot,generic,"Gallo Vineyards, Inc."
.bargains,generic,"Half Hallow, LLC"
.bauhaus,generic,Werkhaus GmbH
.bayern,generic,Bayern Connect GmbH
.bb,country-code,Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
.bbc,generic,British Broadcasting Corporation
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
.bcg,generic,"The Boston Consulting Group, Inc."
.bcn,generic,Municipi de Barcelona
.bd,country-code,Ministry of Post & Telecommunications Bangladesh Secretariat
.be,country-code,DNS Belgium vzw/asbl
.beats,generic,"Beats Electronics, LLC"
.beer,generic,Top Level Domain Holdings Limited
.bentley,generic,Bentley Motors Limited
.berlin,generic,dotBERLIN GmbH & Co. KG
.best,generic,BestTLD Pty Ltd
.bet,generic,Afilias plc
.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
.bg,country-code,Register.BG
.bh,country-code,Telecommunications Regulatory Authority (TRA)
.bharti,generic,Bharti Enterprises (Holding) Private Limited
.bi,country-code,Centre National de l'Informatique
.bible,generic,American Bible Society
.bid,generic,dot Bid Limited
.bike,generic,"Grand Hollow, LLC"
.bing,generic,Microsoft Corporation
.bingo,generic,"Sand Cedar, LLC"
.bio,generic,STARTING DOT LIMITED
.biz,generic-restricted,"Neustar, Inc."
.bj,country-code,Benin Telecoms S.A.
.bl,country-code,Not assigned
.black,generic,Afilias Limited
.blackfriday,generic,"Uniregistry, Corp."
.bloomberg,generic,Bloomberg IP Holdings LLC
.blue,generic,Afilias Limited
.bm,country-code,Registry General Ministry of Labour and Immigration
.bms,generic,Bristol-Myers Squibb Company
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft
.bn,country-code,Brunei Darussalam Network Information Centre Sdn Bhd (BNNIC)
.bnl,generic,Banca Nazionale del Lavoro
.bnpparibas,generic,BNP Paribas
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
.boats,generic,"DERBoats, LLC"
.boehringer,generic,Boehringer Ingelheim International GmbH
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
.bond,generic,Bond University Limited
.boo,generic,Charleston Road Registry Inc.
.book,generic,"Amazon Registry Services, Inc."
.boots,generic,THE BOOTS COMPANY PLC
.bosch,generic,Robert Bosch GMBH
.bostik,generic,Bostik SA
.bot,generic,"Amazon Registry Services, Inc."
.boutique,generic,"Over Galley, LLC"
.bq,country-code,Not assigned
.br,country-code,Comite Gestor da Internet no Brasil
.bradesco,generic,Banco Bradesco S.A.
.bridgestone,generic,Bridgestone Corporation
.broadway,generic,"Celebrate Broadway, Inc."
.broker,generic,DOTBROKER REGISTRY LTD
.brother,generic,"Brother Industries, Ltd."
.brussels,generic,DNS.be vzw
.bs,country-code,The College of the Bahamas
.bt,country-code,Ministry of Information and Communications
.budapest,generic,Top Level Domain Holdings Limited
.bugatti,generic,Bugatti International SA
.build,generic,Plan Bee LLC
.builders,generic,"Atomic Madison, LLC"
.business,generic,"Spring Cross, LLC"
.buy,generic,"Amazon Registry Services, INC"
.buzz,generic,DOTSTRATEGY CO.
.bv,country-code,UNINETT Norid A/S
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA)
.by,country-code,"Reliable Software, Ltd."
.bz,country-code,University of Belize
.bzh,generic,Association www.bzh
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
.cab,generic,"Half Sunset, LLC"
.cafe,generic,"Pioneer Canyon, LLC"
.cal,generic,Charleston Road Registry Inc.
.call,generic,"Amazon Registry Services, Inc."
.camera,generic,"Atomic Maple, LLC"
.camp,generic,"Delta Dynamite, LLC"
.cancerresearch,generic,Australian Cancer Research Foundation
.canon,generic,Canon Inc.
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry
.capital,generic,"Delta Mill, LLC"
.car,generic,Cars Registry Limited
.caravan,generic,"Caravan International, Inc."
.cards,generic,"Foggy Hollow, LLC"
.care,generic,"Goose Cross, LLC"
.career,generic,dotCareer LLC
.careers,generic,"Wild Corner, LLC"
.cars,generic,Cars Registry Limited
.cartier,generic,Richemont DNS Inc.
.casa,generic,Top Level Domain Holdings Limited
.cash,generic,"Delta Lake, LLC"
.casino,generic,"Binky Sky, LLC"
.cat,sponsored,Fundacio puntCAT
.catering,generic,New Falls. LLC
.cba,generic,COMMONWEALTH BANK OF AUSTRALIA
.cbn,generic,"The Christian Broadcasting Network, Inc."
.cc,country-code,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT
.ceb,generic,The Corporate Executive Board Company
.center,generic,"Tin Mill, LLC"
.ceo,generic,CEOTLD Pty Ltd
.cern,generic,"European Organization for Nuclear Research (""CERN"")"
.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL)
.cfa,generic,CFA Institute
.cfd,generic,DOTCFD REGISTRY LTD
.cg,country-code,ONPT Congo and Interpoint Switzerland
.ch,country-code,SWITCH The Swiss Education & Research Network
.chanel,generic,Chanel International B.V.
.channel,generic,Charleston Road Registry Inc.
.chase,generic,JPMorgan Chase & Co.
.chat,generic,"Sand Fields, LLC"
.cheap,generic,"Sand Cover, LLC"
.chloe,generic,Richemont DNS Inc.
.christmas,generic,"Uniregistry, Corp."
.chrome,generic,Charleston Road Registry Inc.
.church,generic,"Holly Fileds, LLC"
.ci,country-code,INP-HB Institut National Polytechnique Felix Houphouet Boigny
.cipriani,generic,Hotel Cipriani Srl
.circle,generic,"Amazon Registry Services, Inc."
.cisco,generic,"Cisco Technology, Inc."
.citic,generic,CITIC Group Corporation
.city,generic,"Snow Sky, LLC"
.cityeats,generic,"Lifestyle Domain Holdings, Inc."
.ck,country-code,Telecom Cook Islands Ltd.
.cl,country-code,NIC Chile (University of Chile)
.claims,generic,"Black Corner, LLC"
.cleaning,generic,"Fox Shadow, LLC"
.click,generic,"Uniregistry, Corp."
.clinic,generic,"Goose Park, LLC"
.clinique,generic,The Estée Lauder Companies Inc.
.clothing,generic,"Steel Lake, LLC"
.cloud,generic,ARUBA PEC S.p.A.
.club,generic,".CLUB DOMAINS, LLC"
.clubmed,generic,Club Méditerranée S.A.
.cm,country-code,Cameroon Telecommunications (CAMTEL)
.cn,country-code,China Internet Network Information Center (CNNIC)
.co,country-code,.CO Internet S.A.S.
.coach,generic,"Koko Island, LLC"
.codes,generic,"Puff Willow, LLC"
.coffee,generic,"Trixy Cover, LLC"
.college,generic,XYZ.COM LLC
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH
.com,generic,VeriSign Global Registry Services
.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA
.community,generic,"Fox Orchard, LLC"
.company,generic,"Silver Avenue, LLC"
.compare,generic,iSelect Ltd
.computer,generic,"Pine Mill, LLC"
.comsec,generic,"VeriSign, Inc."
.condos,generic,"Pine House, LLC"
.construction,generic,"Fox Dynamite, LLC"
.consulting,generic,"United TLD Holdco, LTD."
.contact,generic,"Top Level Spectrum, Inc."
.contractors,generic,"Magic Woods, LLC"
.cooking,generic,Top Level Domain Holdings Limited
.cool,generic,"Koko Lake, LLC"
.coop,sponsored,DotCooperation LLC
.corsica,generic,Collectivité Territoriale de Corse
.country,generic,Top Level Domain Holdings Limited
.coupon,generic,"Amazon Registry Services, Inc."
.coupons,generic,"Black Island, LLC"
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD
.cr,country-code,National Academy of Sciences Academia Nacional de Ciencias
.credit,generic,"Snow Shadow, LLC"
.creditcard,generic,"Binky Frostbite, LLC"
.creditunion,generic,"CUNA Performance Resources, LLC"
.cricket,generic,dot Cricket Limited
.crown,generic,Crown Equipment Corporation
.crs,generic,Federated Co-operatives Limited
.cruises,generic,"Spring Way, LLC"
.csc,generic,"Alliance-One Services, Inc."
.cu,country-code,CENIAInternet Industria y San Jose Capitolio Nacional
.cuisinella,generic,SALM S.A.S.
.cv,country-code,Agência Nacional das Comunicações (ANAC)
.cw,country-code,University of Curacao
.cx,country-code,Christmas Island Domain Administration Limited
.cy,country-code,University of Cyprus
.cymru,generic,Nominet UK
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd."
.cz,country-code,"CZ.NIC, z.s.p.o"
.dabur,generic,Dabur India Limited
